EmployeeNumber,Attrition,Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
169,0,22,594,2,1,3,1,100,3,1,4,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
170,0,49,470,20,4,3,0,96,3,2,1,5549,1,0,14,3,3,0,16,2,2,15,11,5,11,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
171,0,43,957,28,3,2,0,72,4,1,3,16090,4,0,12,3,4,0,18,2,3,3,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
174,0,50,809,12,3,3,0,77,3,3,4,6645,4,0,11,3,4,0,16,3,3,2,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
175,1,31,542,20,3,2,0,71,1,2,3,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
176,0,41,802,9,1,3,1,96,3,3,3,21196,3,1,13,3,3,1,12,2,3,9,7,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
177,0,26,1355,25,1,3,0,61,3,1,3,8916,1,0,23,4,4,1,8,3,3,8,7,5,7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
178,0,36,216,6,2,2,1,84,3,2,2,2819,6,0,20,4,4,2,7,0,3,3,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
179,1,51,1150,8,4,1,1,53,1,3,4,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
182,0,39,1329,4,4,4,0,47,2,2,3,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
183,0,25,959,28,3,1,1,41,2,2,3,24835,2,0,18,3,4,0,6,3,3,2,2,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
184,0,30,1240,9,3,3,1,48,3,2,4,13982,0,1,19,3,4,0,12,2,1,11,9,4,7,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
190,1,32,1033,9,3,1,0,41,3,1,1,10224,7,0,22,4,1,0,10,2,4,5,4,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
192,0,45,1316,29,3,3,1,83,3,1,4,9752,5,0,13,3,2,0,9,2,2,6,5,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
193,0,38,364,3,5,4,0,32,3,2,3,2302,3,1,20,4,2,0,19,2,3,3,2,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
194,0,30,438,18,3,1,0,75,3,1,3,23910,1,0,14,3,3,0,5,4,2,5,4,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
195,0,32,689,9,2,4,1,35,1,2,4,22812,0,0,17,3,4,3,9,2,4,8,7,0,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
197,0,30,201,5,3,4,0,84,3,1,1,10415,5,0,14,3,4,1,8,3,3,3,2,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
198,0,30,1427,2,1,2,1,35,2,1,4,11162,0,0,13,3,4,0,6,3,3,5,3,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
199,0,41,857,10,3,4,1,91,2,4,1,12888,4,0,13,3,2,1,21,2,2,7,6,7,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
200,0,41,933,9,4,3,1,94,3,1,1,6961,2,0,21,4,4,1,7,2,3,5,0,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
201,0,19,1181,3,1,2,0,79,3,1,2,16102,1,0,14,3,4,0,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
202,0,40,1395,26,3,2,0,54,3,2,2,8504,1,0,11,3,1,1,20,2,3,20,7,2,13,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
204,0,35,662,1,5,3,1,94,3,3,2,11439,1,0,13,3,1,2,10,3,3,10,8,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
205,0,53,1436,6,2,2,1,34,3,2,3,16047,2,1,20,4,4,1,13,3,1,7,7,4,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
206,0,45,194,9,3,2,1,60,3,2,2,10901,8,0,18,3,3,1,20,2,1,17,9,0,15,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
207,0,32,967,8,3,2,0,43,3,3,4,15589,1,0,14,3,4,0,9,2,3,9,8,3,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
208,0,29,1496,1,1,4,1,41,3,2,3,26283,1,0,13,3,1,1,10,1,3,10,7,0,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
211,0,51,1169,7,4,2,1,34,2,2,3,13983,2,0,17,3,3,0,10,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
214,0,58,1145,9,3,2,0,75,2,1,2,11873,4,1,20,4,2,1,9,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
215,0,40,630,4,4,3,1,67,2,3,4,8552,7,0,11,3,1,1,15,2,2,12,11,2,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
216,0,34,303,2,4,3,0,75,3,1,3,11314,6,0,18,3,4,1,6,3,3,4,3,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
217,0,22,1256,19,1,3,1,80,3,1,4,11992,1,0,24,4,1,2,2,6,3,2,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
218,0,27,691,9,3,4,1,57,3,1,2,5970,6,0,18,3,4,1,6,1,1,2,2,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
221,0,28,440,21,3,3,1,42,3,1,4,6672,1,0,11,3,3,1,5,2,1,5,2,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
223,0,57,334,24,2,3,1,83,4,3,4,23402,3,1,16,3,2,1,12,2,1,5,3,1,4,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
224,0,27,1450,3,3,3,1,79,2,1,3,25326,1,1,15,3,4,1,1,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
226,0,50,1452,11,3,3,0,53,3,5,2,17053,3,0,15,3,2,0,21,5,3,5,4,4,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
227,0,41,465,14,3,1,1,56,3,1,3,4609,4,0,12,3,1,1,13,2,3,9,8,1,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
228,0,30,1339,5,3,2,0,41,3,3,4,8053,2,0,12,3,3,1,12,2,3,10,9,7,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
230,0,38,702,1,4,1,0,59,2,2,4,12930,4,0,22,4,3,0,12,2,4,8,3,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
231,0,32,120,6,5,3,1,43,3,1,3,12430,3,0,20,4,1,0,8,2,3,5,4,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
233,0,27,1157,17,3,3,1,51,3,1,2,13364,0,1,16,3,4,1,6,3,2,5,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
235,1,19,602,1,1,3,0,100,1,1,1,20989,0,0,21,4,1,0,1,5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
238,0,36,1480,3,2,4,1,30,3,1,2,15062,4,0,12,3,3,0,13,3,2,8,7,7,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
239,0,30,111,9,3,3,1,66,3,2,1,11012,1,0,11,3,3,2,12,4,3,12,9,6,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
240,0,45,1268,4,2,3,0,30,3,2,1,6319,4,1,11,3,1,1,9,3,4,5,4,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
241,0,56,713,8,3,3,0,67,3,1,1,13939,4,1,18,3,3,1,19,3,3,2,2,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
242,0,33,134,2,3,3,1,90,3,1,4,10515,0,0,14,3,1,0,4,2,4,3,1,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
243,1,19,303,2,3,2,1,47,2,1,4,9241,1,0,22,4,3,0,1,3,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
244,0,46,526,1,2,2,0,92,3,3,1,2137,1,0,25,4,3,3,24,2,3,24,13,15,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
245,0,38,1380,9,2,3,0,75,3,1,4,6319,1,0,12,3,3,0,2,3,3,2,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
246,0,31,140,12,1,3,0,95,3,1,4,6984,8,1,23,4,3,1,7,0,3,4,2,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
247,0,34,629,27,2,4,0,95,3,1,2,5711,2,0,15,3,4,0,9,3,3,3,2,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
248,1,41,1356,20,2,2,0,70,3,1,2,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
249,0,50,328,1,3,3,1,86,2,1,3,3425,2,0,15,3,4,1,5,2,2,3,2,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
250,0,53,1084,13,2,4,0,57,4,2,1,26250,1,0,11,3,3,2,5,3,3,4,2,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
252,0,33,931,14,3,4,0,72,3,1,2,4673,1,0,13,3,4,1,8,5,3,8,7,1,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
253,0,40,989,4,1,4,0,46,3,5,3,6499,1,0,14,3,2,1,21,2,3,20,8,9,9,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
254,0,55,692,14,4,3,1,61,4,5,2,13339,8,0,11,3,4,0,36,3,3,24,15,2,15,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
256,0,34,1069,2,1,4,1,45,2,2,3,14074,1,0,17,3,3,0,10,2,2,10,9,1,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
258,0,51,313,3,3,4,0,98,3,4,2,7192,3,0,18,3,3,0,21,6,3,7,7,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
259,0,52,699,1,4,3,1,65,2,5,3,5678,0,0,14,3,1,1,34,5,3,33,18,11,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
260,0,27,894,9,3,4,0,99,3,1,2,11781,1,0,16,3,4,0,7,2,2,7,7,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
261,1,35,556,23,2,2,1,50,2,2,3,15497,3,1,13,3,1,0,8,1,3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
262,0,43,1344,7,3,4,1,37,4,1,4,5228,4,0,14,3,4,3,7,3,4,5,4,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
264,0,45,1195,2,2,1,1,65,2,4,4,20462,9,0,23,4,4,1,22,1,3,20,8,11,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
267,0,37,290,21,3,2,1,65,4,1,1,22977,1,1,12,3,1,1,8,3,2,8,7,1,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
269,0,35,138,2,3,2,0,37,3,2,2,15986,5,0,11,3,4,0,10,5,3,6,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
270,0,42,926,21,2,3,0,36,3,2,3,16439,2,0,16,3,2,1,11,5,3,5,3,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
271,0,38,1261,2,4,4,1,88,3,2,3,7259,9,0,14,3,2,0,14,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
273,0,38,1084,29,3,4,1,54,3,2,4,4185,3,0,18,3,1,1,9,3,1,7,7,1,7,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
274,0,27,472,1,1,3,1,60,2,2,1,9679,5,0,19,3,3,1,6,1,3,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
275,0,49,1002,18,4,4,1,92,3,2,4,23793,1,1,15,3,1,2,7,0,3,7,7,1,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
277,0,34,878,10,4,4,1,43,3,1,3,5972,1,1,17,3,4,1,5,4,4,5,3,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
281,0,40,905,19,2,3,1,99,3,2,4,16523,8,1,15,3,3,1,15,2,4,7,2,3,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
282,1,38,1180,29,1,2,1,70,3,2,1,11354,7,1,19,3,2,0,17,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
283,1,29,121,27,3,2,0,35,3,3,4,24525,1,0,22,4,4,3,10,3,2,10,4,1,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
284,0,22,1136,5,3,4,1,60,4,1,2,12392,1,1,16,3,1,1,4,2,2,4,2,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
286,0,36,635,18,1,2,0,73,3,1,4,7703,1,0,13,3,1,0,8,2,3,8,1,1,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
287,0,40,1151,9,5,4,1,63,2,2,4,14242,9,0,14,3,4,1,5,5,1,3,2,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
288,0,46,644,1,4,4,1,97,3,3,1,12368,7,0,16,3,3,1,17,3,3,4,2,0,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
291,1,32,1045,4,4,4,1,32,1,3,4,25812,1,0,11,3,3,0,14,2,2,14,8,9,8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
292,0,30,829,1,1,3,1,88,2,3,3,20925,1,0,22,4,3,0,12,2,3,11,8,5,8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
293,0,27,1242,20,3,4,0,90,3,2,3,12916,1,0,14,3,4,0,7,2,3,7,7,0,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
296,0,51,1469,8,4,2,1,81,2,3,2,15736,5,0,16,3,4,2,16,5,1,10,9,4,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
297,1,30,1005,3,3,4,0,88,3,1,1,8556,5,1,11,3,3,0,8,5,3,5,2,0,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
298,0,41,896,6,3,4,0,75,3,3,4,14674,3,1,18,3,3,0,16,3,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
299,1,30,334,26,4,3,0,52,2,2,1,22967,5,0,15,3,3,0,9,5,2,6,3,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
300,1,29,992,1,3,3,1,85,3,1,3,19757,0,0,14,3,4,0,7,1,2,6,2,1,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
302,0,45,1052,6,3,4,0,57,2,3,4,16840,6,0,12,3,4,0,23,2,3,19,7,12,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
303,0,54,1147,3,3,4,0,52,3,2,1,17011,2,0,14,3,4,1,16,4,3,6,2,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
304,0,36,1396,5,2,4,1,62,3,2,2,9945,8,0,16,3,4,0,16,3,4,13,11,3,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
305,0,33,147,4,4,3,0,47,2,1,2,13248,6,0,21,4,4,0,7,3,3,3,2,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
306,0,37,663,11,3,2,1,47,3,3,4,10056,1,1,14,3,3,3,10,1,3,10,8,0,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
307,0,38,119,3,3,1,1,76,3,3,3,9647,0,0,12,3,3,2,17,6,2,16,10,5,13,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
308,0,31,979,1,4,3,1,90,1,2,3,4381,0,0,12,3,4,1,6,2,3,5,4,1,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
309,0,59,142,3,3,3,1,70,2,1,4,8456,3,0,17,3,1,1,7,6,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
311,0,37,319,4,4,1,1,41,3,1,4,2539,4,0,17,3,3,1,13,2,3,9,8,5,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
312,0,29,1413,1,1,2,0,42,3,3,4,6599,1,0,14,3,4,1,11,5,3,11,10,4,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
314,0,35,944,1,3,3,0,92,3,3,3,9096,1,0,14,3,1,0,10,3,4,10,7,0,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
315,1,29,896,18,1,3,1,86,2,1,4,14961,1,1,13,3,3,0,4,3,2,4,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
316,0,52,1323,2,3,3,0,89,2,1,4,3300,7,0,15,3,2,0,6,3,2,2,2,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
319,0,42,532,4,2,3,1,58,3,5,4,4933,1,0,11,3,4,0,22,3,3,22,17,11,15,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
321,0,59,818,6,2,2,1,52,3,1,3,25657,8,0,17,3,4,0,7,2,2,2,2,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
323,0,50,854,1,4,4,0,68,3,5,4,24118,3,0,11,3,3,1,32,3,2,7,0,0,6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
325,1,33,813,14,3,3,1,58,3,1,4,22149,5,1,13,3,3,1,8,2,1,5,4,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
327,0,43,1034,16,3,4,0,80,3,4,4,7744,5,1,22,4,3,1,22,3,3,17,13,1,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
328,1,33,465,2,2,1,0,39,3,1,1,21509,7,0,20,4,1,0,13,3,4,9,7,1,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
329,0,52,771,2,4,1,1,79,2,5,3,21030,1,1,18,3,4,0,33,2,4,33,7,15,12,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
330,0,32,1401,4,2,3,0,56,3,1,2,20990,2,0,11,3,1,1,6,5,3,4,3,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
331,1,32,515,1,3,4,1,62,2,1,3,9571,0,1,14,3,4,0,4,2,1,3,2,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
332,0,39,1431,1,4,3,0,96,3,1,3,15417,7,0,14,3,3,3,7,1,3,3,2,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
333,0,32,976,26,4,3,1,100,3,2,4,12069,0,0,18,3,1,0,4,2,3,3,2,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
334,0,41,1411,19,2,3,1,36,3,2,1,19877,2,0,16,3,1,2,17,2,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
335,0,40,1300,24,2,1,1,62,3,2,4,24447,1,0,17,3,1,2,9,3,3,9,8,4,7,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
336,0,45,252,1,3,3,1,70,4,5,4,15970,0,0,11,3,3,1,25,2,3,24,0,1,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
337,0,31,1327,3,4,2,1,73,3,3,3,13523,9,0,12,3,1,1,9,3,3,2,2,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
338,0,33,832,5,4,3,0,63,2,1,4,14776,1,0,13,3,3,1,2,2,2,2,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
339,0,34,470,2,4,4,1,84,2,2,1,23687,6,0,13,3,2,1,13,3,3,11,9,5,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
340,0,37,1017,1,2,3,0,83,2,1,1,18697,2,0,14,3,1,1,17,2,2,3,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
341,0,45,1199,7,4,1,1,77,4,2,3,5118,4,0,17,3,4,1,9,1,3,3,2,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
342,1,37,504,10,3,1,1,61,3,3,3,22573,6,0,11,3,2,2,17,5,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
343,0,39,505,2,4,3,0,64,3,3,3,6420,0,0,25,4,4,0,20,1,3,19,6,11,8,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
346,0,29,665,15,3,3,1,60,3,1,4,22673,1,0,19,3,1,0,6,1,3,6,5,1,5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
347,0,42,916,17,2,4,0,82,4,2,1,23016,3,1,13,3,3,0,10,1,3,3,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
349,0,29,1247,20,2,4,1,45,3,2,4,10732,2,0,14,3,4,1,10,2,3,3,2,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
350,0,25,685,1,3,1,0,62,3,2,3,7505,0,0,12,3,4,2,5,3,3,4,2,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
351,0,42,269,2,3,4,0,56,2,1,1,8007,0,1,11,3,3,1,10,4,3,9,6,7,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
352,0,40,1416,2,2,1,1,49,3,5,3,5949,0,0,19,3,4,1,22,5,3,21,7,3,9,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
353,0,51,833,1,3,3,1,96,3,1,4,23231,1,0,11,3,2,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
355,1,31,307,29,2,3,1,71,2,1,2,11652,0,0,11,3,2,0,6,2,4,5,4,1,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
359,0,32,1311,7,3,2,1,100,4,1,2,26062,1,0,20,4,3,0,5,3,1,5,1,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
